province_name,province,adjusted_mean,adjusted_median,adjusted_q1,adjusted_q3,adjusted_income_mean,adjusted_income_median,adjusted_income_q1,adjusted_income_q3,col_index,income_index,col_index_custom,income_index_custom
Biliran,78,11580.24,8973.2,6721.93,13136.86,21173.2,14459.26,10440.74,21839.33,0.23388792830966293,0.255166247947032,0.3067689776259945,0.6065561246635993
Bohol,12,10342.76,8261.71,6126.4,12082.56,20059.49,14074.83,10045.59,22351.52,0.17577755870944972,0.23410627553541508,0.23055102657328266,0.5954316057528142
Bukidnon,13,7984.76,6615.6,5031.1,9168.23,17716.46,13397.13,9447.89,19587.71,0.04133285744505172,0.19698028822081215,0.05421245342766002,0.5758205284023498
Bulacan,14,15716.86,14055.19,10584.91,18785.93,25229.93,21062.83,15332.88,30478.55,0.6489553462699806,0.6169252210193241,0.7163450496944419,0.7976482333535897
Cagayan,15,12362.12,10787.73,8203.25,14302.17,22813.21,17413.33,12496.67,24844.33,0.3820881966910518,0.41699709544068564,0.5007081292979423,0.6920401076482334
Camarines Norte,16,10131.17,8393.67,6371.33,11655.9,18521.6,13493.33,10133.94,19981.15,0.18655528485098954,0.20225034868955183,0.24468716456667106,0.5786043348670313
Camarines Sur,17,10436.39,7741.75,5515.02,12173.16,20653.21,13424.08,9499.63,22217.86,0.13331024676223097,0.19845667210472628,0.1748506150012748,0.5766003993402204
Camiguin,18,12526.19,10043.21,7371.86,14364.48,23793.86,15767.21,11542.63,24738.43,0.3212801285878451,0.32681880085854864,0.42139317446068203,0.6444051856353271
Capiz,19,12773.58,10782.64,8043.05,14722.72,19001.18,14683.33,11072.23,21134.9,0.3816724750628279,0.2674413253818603,0.5003722133495241,0.6130401944613247
Catanduanes,20,12071.09,8984.83,6550.85,13507.05,19084.76,12058.99,8677.0,18709.76,0.23483779914193098,0.12367385666531172,0.3080148345891886,0.5370978383540238
Cavite,21,18474.06,16016.0,11572.01,22442.62,32894.08,26045.33,18022.81,39466.9,0.8091029151968716,0.8898781969600189,0.8457492443541043,0.9418303093439824
Cebu,22,14582.06,12272.67,8525.26,17458.04,25918.05,20893.18,14149.75,31064.52,0.50336946871756,0.6076313981656685,0.5987071525678762,0.7927389530341176
Compostela Valley,82,9095.01,7508.79,5924.48,10334.95,19579.39,14578.8,10861.32,20620.45,0.1142834274083881,0.2617149280762745,0.14989491094747262,0.6100153369794832
