family_size,province_name,province,monthly_mean,monthly_median,monthly_q1,monthly_q3,monthly_income_mean,monthly_income_median,monthly_income_q1,monthly_income_q3,col_index,income_index,col_index_custom,income_index_custom
1.0,Negros Occidental,45,17532.13,14168.33,8941.33,21444.5,26409.28,19253.33,12455.0,29516.67,0.029579575263199466,0.010031002226208353,0.507268870378281,0.5052880687447128
1.0,Negros Oriental,46,15489.62,11007.5,7488.38,16286.67,27447.77,18533.33,11768.83,29945.83,0.01623674568064396,0.009132144528278046,0.5004940464720903,0.5048388873777541
1.0,North Cotabato,47,13012.24,10899.0,8401.08,13693.83,24890.3,19759.33,13666.67,27762.58,0.01577873401607887,0.01066269944169826,0.5002614909743818,0.5056037434276032
1.0,Northern Samar,48,13355.57,10728.62,8383.5,15395.25,27900.11,19941.87,14424.75,28308.75,0.015059507957013434,0.01089058483639298,0.49331006559952223,0.5057176233813874
1.0,Nueva Ecija,49,19668.36,16911.17,13517.9,22291.29,30229.08,23860.0,19358.21,33275.0,0.041157941291178356,0.01578203110304808,0.5131477876256041,0.5081619997554457
1.0,Nueva Vizcaya,50,15215.56,12997.17,9453.33,17434.67,21692.87,18840.0,14381.67,25857.5,0.02463575092152158,0.009514995486922887,0.5047586427589613,0.505030207446928
1.0,Occidental Mindoro,51,11856.39,8752.0,7137.98,14443.29,21250.11,14272.42,10517.71,21636.79,0.006715590755053548,0.003812767092599959,0.21998517649922011,0.5021806632412429
1.0,Oriental Mindoro,52,13517.09,11492.29,8321.42,16052.83,23199.97,18358.33,14369.79,25468.46,0.018283192453588754,0.008913672171142207,0.5015331301562751,0.5047297113510627
1.0,Palawan,53,13771.19,11753.17,7705.75,17644.96,25209.27,18755.0,13409.25,30317.04,0.019384446675263775,0.009408880342028336,0.5020922921677238,0.5049771790911065
1.0,Pampanga,54,31094.48,28368.67,22961.67,35410.5,49249.65,44233.33,32299.58,56858.33,0.08952355093868539,0.041216370690512594,0.5377054338467487,0.5208721667261416
1.0,Pangasinan,55,15251.59,11695.69,8328.67,16988.04,27466.3,19656.02,13230.54,27800.17,0.019141806025685888,0.010533725846179955,0.5019690913381544,0.5055392921400748
1.0,Quezon,56,15955.19,13669.5,9487.08,17556.73,22174.26,17961.67,11595.83,25281.0,0.02747386135872938,0.008418476484390766,0.5061996937983557,0.5044822498496491
1.0,Quirino,57,12275.7,10391.0,7888.17,14070.62,22924.19,19477.17,13975.0,25308.25,0.013634310738668123,0.010310447097187125,0.44662433487836983,0.5054277142407961
1.0,Rizal,58,26989.03,21968.17,15174.29,32648.38,45884.24,35955.83,22461.25,54479.17,0.06250508403500932,0.03088262819798744,0.5239868028505945,0.5157081406636406
