family_size,region_name,income,col,housing,food,transport
4.0,Region IX - Zamboanga Peninsula,32693.33,21541.17,25700.0,84020.5,9270.0
4.0,Region V- Bicol,32953.33,21875.5,29920.0,80667.0,8350.0
4.0,Region VI - Western Visayas,39573.33,26203.96,35024.0,93452.25,11701.0
4.0,Region VII - Central Visayas,43692.5,25496.75,39196.0,84822.88,11760.0
4.0,Region VIII - Eastern Visayas,34327.0,22778.17,30408.5,86420.75,8459.5
4.0,Region X - Northern Mindanao,35704.75,22177.17,31097.0,76515.25,11290.0
4.0,Region XI - Davao,33519.17,20336.77,27021.0,73979.5,9427.0
4.0,Region XII - SOCCSKSARGEN,30968.0,21377.0,25518.0,80490.1,10555.0
4.0,Region XIII - Caraga,33073.33,22924.67,27960.0,87347.0,9920.0
4.5,Bangsamoro Autonomous Region in Muslim Mindanao,29707.17,20827.33,20490.0,85246.0,7010.0
4.5,Cordillera Administrative Region,50459.58,28209.92,39140.0,98380.25,10201.0
4.5,National Capital Region,71003.33,46786.19,85525.0,139806.0,17162.0
4.5,Region I - Ilocos Region,56753.33,33992.17,45610.0,116808.0,15200.0
4.5,Region II - Cagayan Valley,45279.17,26840.0,39700.0,89772.0,10934.0
4.5,Region III - Central Luzon,56810.0,38585.65,61665.0,124046.25,15960.0
4.5,Region IVA - CALABARZON,55710.0,37839.17,57180.0,119439.0,15798.0
4.5,Region IVB - MIMAROPA,36940.83,24992.67,31780.0,88916.0,9920.0
4.5,Region IX - Zamboanga Peninsula,33875.83,22355.33,24420.0,85309.0,9542.0
4.5,Region V- Bicol,34323.5,23483.67,32010.0,85809.0,8808.0
4.5,Region VI - Western Visayas,46759.17,29811.67,39934.0,103420.0,13840.0
4.5,Region VII - Central Visayas,55800.0,31788.5,49520.0,99234.5,12890.0
4.5,Region VIII - Eastern Visayas,36598.21,23313.92,30610.0,87122.5,8571.0
4.5,Region X - Northern Mindanao,39250.0,23798.0,34260.0,82270.0,10585.0
4.5,Region XI - Davao,37648.21,22236.25,29172.0,79575.0,9702.0
4.5,Region XII - SOCCSKSARGEN,34622.83,23517.17,29310.0,87291.0,11977.0
