family_size,region_name,region,food_mean,food_median,food_q1,food_q3,transportation_mean,transportation_median,transportation_q1,transportation_q3,housing_mean,housing_median,housing_q1,housing_q3,monthly_mean,monthly_median,monthly_q1,monthly_q3,monthly_income_mean,monthly_income_median,monthly_income_q1,monthly_income_q3,col_index,income_index,col_index_custom,income_index_custom
1.5,Region VI - Western Visayas,6,54161.0,54161.0,43342.0,71163.25,4795.0,4795.0,1985.0,10337.5,25302.5,25302.5,17292.5,45347.5,20665.28,16386.25,12290.46,23888.58,34080.01,25118.42,18234.96,37240.62,0.04062724040990218,0.023791952086310394,0.5175531152871902,0.5172654749371419
1.5,Region VII - Central Visayas,7,53187.64,53187.64,35313.0,78308.0,6578.0,6578.0,3262.0,12365.0,31390.0,31390.0,22243.0,50701.0,21754.79,18276.83,11647.58,25862.83,40869.11,31400.0,21631.0,44288.42,0.05239198070079293,0.03908483251885956,0.5234693373667295,0.5248277987555402
1.5,Region VIII - Eastern Visayas,8,51907.75,51907.75,40342.0,66077.0,2912.0,2912.0,1200.0,8040.0,22564.0,22564.0,15294.0,42120.0,17892.52,14805.0,11003.5,20559.5,31066.15,23472.5,16042.83,32387.17,0.030787405234997678,0.019784861869909215,0.5126048844991402,0.5152839702808011
1.5,Region X - Northern Mindanao,10,48503.5,48503.5,34973.0,62861.0,5310.0,5310.0,2460.0,10370.0,27716.0,27716.0,16220.0,43828.0,19355.35,15045.5,10884.0,21061.33,32614.39,23946.67,17875.83,37700.0,0.03228399360468276,0.020939256960746527,0.5133574849763107,0.515854818233859
1.5,Region XI - Davao,11,39093.0,39093.0,31511.25,55167.5,2900.0,2900.0,1470.0,8675.0,20060.0,20060.0,13985.0,40710.0,18546.34,12581.08,8636.15,19557.25,37561.33,21790.67,14682.75,36238.33,0.01694834990397877,0.01569034662089954,0.505645536253031,0.5132592339775944
1.5,Region XII - SOCCSKSARGEN,12,46486.0,46486.0,36615.0,56568.5,3430.0,3430.0,1300.0,9960.0,17300.0,17300.0,12750.0,25210.0,14350.98,12762.17,9573.33,17425.5,25369.48,20161.0,13789.67,27007.5,0.018075240498017314,0.011722817996809368,0.506212224071787,0.5112972925142796
1.5,Region XIII - Caraga,16,51660.5,51660.5,38555.62,66804.5,4809.0,4809.0,1715.0,8692.0,21766.0,21766.0,12977.5,38908.0,19326.78,14145.27,10264.62,21391.9,32172.34,20688.33,15097.46,34721.04,0.026682023758355933,0.013006634272093004,0.5105403809115985,0.511932139196031
2.0,Bangsamoro Autonomous Region in Muslim Mindanao,19,65917.5,65917.5,53424.5,82065.75,5267.5,5267.5,3000.0,9360.0,18145.0,18145.0,13290.0,27557.5,17470.29,16291.25,13135.4,20017.33,27006.68,23410.83,18728.12,30150.0,0.040036072446824916,0.019634722583889576,0.517255830275418,0.5152097264584059
2.0,Cordillera Administrative Region,14,67502.5,67502.5,52452.75,88588.5,6000.0,6000.0,2527.5,13777.5,36311.0,36311.0,22864.5,59850.0,25460.17,21813.42,15560.46,30882.44,46054.87,34642.92,24293.75,53886.38,0.07439954603278692,0.04697991429960937,0.53453644473287,0.5287319138280474
2.0,National Capital Region,13,87746.5,87746.5,68985.25,113949.5,12084.0,12084.0,6000.0,22980.0,78075.0,78075.0,54105.0,121312.5,42939.76,35178.08,26525.09,49270.29,73134.45,53918.33,38671.42,79292.5,0.15756542844773672,0.09390704734867705,0.5763586879479342,0.55193736407343
