family_size,province_name,income,col,housing,food,transport
1.5,Nueva Vizcaya,25040.83,16259.33,30134.0,51152.0,7800.0
1.5,Occidental Mindoro,22753.33,14571.5,20700.0,52342.5,6551.0
1.5,Oriental Mindoro,26706.67,18272.42,28770.0,44730.0,5300.0
1.5,Palawan,23226.67,14241.83,27560.0,43377.0,5046.0
1.5,Pampanga,48500.0,34252.19,69355.0,95657.0,10595.0
1.5,Pangasinan,21791.17,15151.17,33100.0,45392.0,6270.0
1.5,Quezon,25993.33,18166.5,35400.0,60011.0,5200.0
1.5,Quirino,26383.33,14832.42,25544.0,52481.0,4195.0
1.5,Rizal,43830.0,27267.0,55360.0,59675.5,6352.0
1.5,Romblon,17878.33,13792.0,21046.0,48736.0,5064.0
1.5,Samar,19599.58,14153.42,20310.0,54586.5,2416.0
1.5,Sarangani,17155.67,9907.67,13848.0,37774.0,2375.0
1.5,Siquijor,15731.08,10299.75,20173.0,32225.5,2190.0
1.5,Sorsogon,21408.33,17159.35,28320.0,51348.0,3840.0
1.5,South Cotabato,20987.33,14702.17,20445.0,47875.5,5386.0
1.5,Southern Leyte,26056.0,16977.0,21250.0,66044.0,6900.0
1.5,Sultan Kudarat,19791.25,12149.08,15839.0,45041.25,2750.0
1.5,Sulu,29938.33,14368.67,11670.0,72432.0,2240.0
1.5,Surigao del Norte,22980.0,13743.71,22832.5,54036.25,3900.0
1.5,Surigao del Sur,21945.83,17290.83,31158.0,56818.7,5340.0
1.5,Tarlac,33302.0,23801.17,45680.0,75632.12,9965.0
1.5,Tawi-Tawi,23518.33,12902.08,29665.0,40418.0,6230.0
1.5,Zambales,32705.83,23561.07,52290.0,71938.4,7915.0
1.5,Zamboanga Sibugay,13553.92,10170.17,12710.0,37274.25,2330.0
1.5,Zamboanga del Norte,18686.08,12774.0,16575.0,55111.0,3670.0
1.5,Zamboanga del Sur,17430.33,11289.25,16707.5,39722.5,3485.0
2.0,Abra,28431.67,21621.67,29710.0,74230.0,5980.0
2.0,Agusan del Norte,24348.0,17892.67,26893.0,61239.55,8023.0
2.0,Agusan del Sur,22488.7,16526.83,16880.0,66461.5,5570.0
2.0,Aklan,32660.0,21121.08,37320.0,64944.0,7020.0
2.0,Albay,26988.33,18458.18,35550.0,58163.5,4930.0
2.0,Antique,25759.5,16831.67,25025.0,60375.5,4200.0
2.0,Apayao,30998.33,19229.67,31256.0,66351.0,7438.0
2.0,Aurora,29377.29,18903.12,30375.0,62572.0,7820.0
2.0,Basilan,24108.33,14646.0,18548.0,60203.0,5907.0
2.0,Bataan,38513.33,25325.67,48620.0,73438.25,10425.0
2.0,Batanes,49170.54,27110.92,54318.0,68303.0,10912.5
2.0,Batangas,41419.0,25208.83,52600.0,65965.0,9300.0
2.0,Benguet,45741.67,28346.6,61468.0,66098.0,7344.0
2.0,Biliran,26308.67,15845.58,24645.0,56827.62,4430.0
2.0,Bohol,25950.0,16045.67,30312.0,50361.0,5520.0
2.0,Bukidnon,26432.92,13159.38,21734.0,40918.5,5203.5
2.0,Bulacan,43220.83,27813.17,49050.0,77822.0,11322.0
2.0,Cagayan,30308.08,19808.83,44480.0,59081.9,6350.0
2.0,Camarines Norte,25809.17,15425.0,28940.0,52647.0,3280.0
2.0,Camarines Sur,28733.83,17605.92,29660.0,51139.5,4820.0
2.0,Camiguin,31774.83,18492.92,35580.0,62100.0,5900.0
2.0,Capiz,27253.75,20065.1,29356.0,73113.5,6535.0
2.0,Catanduanes,21984.58,15916.17,27120.0,56641.75,2340.0
2.0,Cavite,52139.17,31802.33,62350.0,78743.4,11592.0
2.0,Cebu,42255.42,24574.46,44030.0,70821.5,9820.0
2.0,Compostela Valley,26333.75,14312.15,23585.0,49602.62,4925.0
2.0,Davao Oriental,20967.67,12881.04,18330.0,47451.25,4675.0
2.0,Davao del Norte,27539.83,20020.33,31900.0,68007.0,7421.0
2.0,Davao del Sur,26299.25,15668.19,25800.0,50352.0,5727.5
2.0,Dinagat Islands,21323.33,12459.54,19700.0,45087.0,2842.0
2.0,Eastern Samar,21846.25,16072.5,24915.0,58269.5,3850.0
2.0,Guimaras,25253.33,19175.17,24465.0,70924.0,7750.0
2.0,Ifugao,27755.5,16312.0,25560.0,54602.0,6120.0
2.0,Ilocos Norte,46506.33,25310.75,33189.0,90152.5,12190.0
2.0,Ilocos Sur,36116.67,22450.5,44520.0,62229.0,7150.0
2.0,Iloilo,34898.33,20498.17,37200.0,64030.5,8028.0
2.0,Isabela,30708.75,18731.33,34970.0,58061.25,6658.0
2.0,Kalinga,38139.0,25043.5,35550.0,82678.0,6450.0
2.0,La Union,33133.33,19365.5,28830.0,69244.75,4720.0
2.0,Laguna,43908.08,30677.0,52945.0,84782.25,10070.0
2.0,Lanao del Norte,27503.75,18133.92,27270.0,60268.75,6598.0
2.0,Lanao del Sur,25230.83,18167.5,20800.0,74966.0,4740.0
2.0,Leyte,28436.83,19653.5,31680.0,61760.0,6030.0
2.0,Maguindanao,20830.0,16965.67,19040.0,68020.0,6280.0
2.0,Marinduque,26916.67,18592.83,27700.0,69509.0,5160.0
2.0,Masbate,23952.67,14203.67,15666.0,58020.0,4580.0
2.0,Metropolitan Manila,53918.33,35178.08,78075.0,87746.5,12084.0
2.0,Misamis Occidental,22194.67,15720.5,21380.0,57274.8,5210.0
2.0,Misamis Oriental,34062.96,20111.17,36315.0,61882.75,7927.0
2.0,Mountain Province,27009.58,16275.5,20930.0,64388.0,3000.0
2.0,Negros Occidental,31715.42,21656.0,37225.0,70761.25,7800.0
2.0,Negros Oriental,21343.33,12821.83,23100.0,41451.5,5200.0
2.0,North Cotabato,29252.83,17773.67,28960.0,58780.5,6570.0
2.0,Northern Samar,28327.33,15152.5,27042.0,52022.0,2622.0
2.0,Nueva Ecija,35559.58,22943.5,42240.0,73588.5,8620.0
2.0,Nueva Vizcaya,27341.67,17734.5,27250.0,57761.0,7550.0
2.0,Occidental Mindoro,22240.83,14349.12,22430.0,53836.5,5140.0
2.0,Oriental Mindoro,31165.25,18812.83,35550.0,53556.0,10123.0
2.0,Palawan,28359.67,17856.25,31800.0,54859.5,8345.0
2.0,Pampanga,57081.67,34945.12,75220.0,93821.18,12985.0
2.0,Pangasinan,29580.0,17870.5,35200.0,56099.0,7150.0
2.0,Quezon,29143.33,22212.0,38070.0,67321.0,5980.0
2.0,Quirino,28795.0,15828.17,27245.0,52809.25,6731.0
2.0,Rizal,48704.75,34472.33,69240.0,89851.02,15070.0
2.0,Romblon,19449.17,14416.67,21012.0,54315.0,4000.0
2.0,Samar,20347.08,13804.75,19648.0,52386.25,2350.0
2.0,Sarangani,18070.0,12477.0,18645.0,47326.75,2660.0
2.0,Siquijor,31668.33,16458.67,22500.0,53038.0,7282.0
2.0,Sorsogon,22736.67,17413.17,25692.0,62684.75,3880.0
2.0,South Cotabato,28130.5,18868.17,27650.0,60995.0,9100.0
2.0,Southern Leyte,27365.83,18685.45,25530.0,70210.0,5660.0
2.0,Sultan Kudarat,23583.17,16005.29,21790.0,56730.0,9412.0
2.0,Sulu,28853.33,17800.31,12530.0,86469.5,3430.0
2.0,Surigao del Norte,29845.83,17203.38,27555.0,58034.75,5270.0
2.0,Surigao del Sur,26377.17,19468.25,29086.0,67631.0,6390.0
2.0,Tarlac,37247.17,26509.17,47270.0,84212.75,9025.0
2.0,Tawi-Tawi,25283.33,12937.5,27640.0,38637.5,5620.0
2.0,Zambales,39042.17,27700.17,52640.0,79518.0,10560.0
2.0,Zamboanga Sibugay,19854.17,12600.5,18490.0,49326.5,3600.0
2.0,Zamboanga del Norte,21076.67,14969.25,18355.0,61626.5,4565.0
2.0,Zamboanga del Sur,30677.33,20761.92,28621.5,64567.75,6755.0
2.5,Abra,32697.5,22327.42,32030.0,81334.5,8225.0
2.5,Agusan del Norte,33383.33,23624.0,34550.0,77817.0,10290.0
2.5,Agusan del Sur,24393.58,15637.75,16233.0,68878.5,6590.0
2.5,Aklan,34477.5,23872.04,39036.0,69204.5,9665.0
2.5,Albay,26513.33,18186.67,36011.0,60162.4,6348.0
2.5,Antique,32364.58,19687.42,28850.0,68438.5,7830.0
2.5,Apayao,36176.38,23396.21,30830.0,78498.25,9192.5
2.5,Aurora,30624.58,20269.42,30061.0,67706.5,7860.0
2.5,Basilan,24697.08,15537.75,18915.0,61775.25,5520.0
2.5,Bataan,43552.5,31595.83,52890.0,87521.75,12800.0
2.5,Batanes,59491.67,32793.67,63370.0,82161.0,18200.0
2.5,Batangas,43310.83,25581.58,49145.0,62716.5,9525.0
2.5,Benguet,52064.17,30415.04,71124.0,75675.5,10849.0
2.5,Biliran,32721.67,19665.83,29320.0,70850.0,6104.0
2.5,Bohol,35152.58,19528.17,27613.0,52597.5,7312.5
2.5,Bukidnon,29771.5,13370.83,23240.0,42983.0,5920.0
2.5,Bulacan,48380.33,32570.17,49800.0,98310.0,14340.0
2.5,Cagayan,33828.33,22101.17,33210.0,72434.5,8440.0
2.5,Camarines Norte,32298.83,21625.75,39575.0,78732.27,8453.0
2.5,Camarines Sur,27423.33,15095.33,27090.0,48726.0,5700.0
2.5,Camiguin,35803.42,23307.83,38630.0,70864.5,8130.0
2.5,Capiz,29192.67,21400.33,29480.0,81341.0,7785.0
2.5,Catanduanes,24273.67,18464.83,25920.0,64196.0,6190.0
2.5,Cavite,51730.17,32954.58,63660.0,87870.25,11397.0
2.5,Cebu,46634.67,27460.67,45720.0,80901.5,11440.0
2.5,Compostela Valley,34134.17,17006.83,26580.0,60164.0,7820.0
2.5,Davao Oriental,25083.33,15015.17,23100.0,52022.0,5090.0
2.5,Davao del Norte,35110.08,25914.0,38840.0,81198.12,9645.0
2.5,Davao del Sur,31814.58,17671.42,30208.0,58322.5,6980.0
2.5,Dinagat Islands,29670.83,17762.17,24930.0,63282.0,4400.0
2.5,Eastern Samar,23586.25,17957.58,24304.0,66514.5,5324.0
2.5,Guimaras,29489.17,21487.0,26820.0,82528.0,8640.0
2.5,Ifugao,32789.17,16437.0,26352.0,58501.0,6400.0
2.5,Ilocos Norte,62770.83,34236.92,42227.0,110282.5,14745.0
2.5,Ilocos Sur,37362.5,20596.67,43108.0,64514.0,7600.0
2.5,Iloilo,43752.92,26174.83,44680.0,72975.5,11075.0
2.5,Isabela,35322.5,20109.0,37360.0,58822.0,7700.0
2.5,Kalinga,42321.67,26160.5,34750.0,94382.0,6920.0
2.5,La Union,43118.33,25466.52,31882.0,72245.0,7050.0
2.5,Laguna,51317.58,29524.5,53340.0,90213.0,14950.0
2.5,Lanao del Norte,33027.5,19038.5,29400.0,64755.0,6840.0
2.5,Lanao del Sur,23517.5,18049.67,22700.0,77117.0,5400.0
2.5,Leyte,31854.17,21347.21,36161.0,71969.75,8786.0
2.5,Maguindanao,23366.67,18295.5,19800.0,72893.0,7380.0
2.5,Marinduque,33236.25,22977.46,33345.0,79873.5,7640.0
2.5,Masbate,28598.42,17598.75,21146.5,67012.0,5030.0
